 IDnum	freq	P(case)	P(+incident)
815	1	0.133493	1
816	1	0.0444775	1
817	1	0.101075	0
818	1	0.110914	1
819	1	0.120852	0
820	1	0.110914	1
821	1	0.1049	0
822	1	0.111228	0
823	1	0.133493	1
824	1	0.101075	0
825	1	0.0444775	1
826	1	0.120852	0
827	1	0.110914	1
828	1	0.113377	1
829	1	0.1049	0
830	1	0.110914	1
831	1	0.101075	0
832	1	0.1049	0
833	1	0.101075	0
834	1	0.113377	1
835	1	0.1049	0
836	1	0.111228	0
837	1	0.111228	0
838	1	0.111228	0
839	1	0.107614	0
840	1	0.113377	1
841	1	0.107614	0
842	1	0.0167767	1
843	1	0.120852	0
844	1	0.133493	1
845	1	0.110914	1
846	1	0.133493	1
847	1	0.101075	0
848	1	0.110914	1
849	1	0.113377	1
850	1	0.101075	0
851	1	0.110914	1
852	1	0.107614	0
853	1	0.111228	0
854	1	0.111228	0
855	1	0.120852	0
856	1	0.0444775	1
857	1	0.113377	1
858	1	0.0167767	1
859	1	0.107614	0
860	1	0.1049	0
861	1	0.133493	1
862	1	0.111228	0
863	1	0.110914	1
864	1	0.133493	1
865	1	0.133493	1
866	1	0.0444775	1
867	1	0.0300151	1
868	1	0.110914	1
869	1	0.110914	1
870	1	0.120852	0
871	1	0.107614	0
872	1	0.110914	1
873	1	0.120852	0
874	1	0.133493	1
875	1	0.0300151	1
876	1	0.120852	0
877	1	0.1049	0
878	1	0.120852	0
879	1	0.113377	1
880	1	0.111228	0
881	1	0.111228	0
882	1	0.120852	0
883	1	0.133493	1
884	1	0.133493	1
885	1	0.107614	0
886	1	0.111228	0
887	1	0.133493	1
888	1	0.133493	1
889	1	0.110914	1
890	1	0.101075	0
891	1	0.133493	1
892	1	0.1049	0
893	1	0.111228	0
894	1	0.111228	0
895	1	0.0444775	1
896	1	0.101075	0
897	1	0.110914	1
898	1	0.0444775	1
899	1	0.107614	0
900	1	0.1049	0
901	1	0.0167767	1
902	1	0.120852	0
903	1	0.0300151	1
904	1	0.133493	1
905	1	0.113377	1
906	1	0.111228	0
907	1	0.0444775	1
908	1	0.120852	0
909	1	0.107614	0
910	1	0.113377	1
911	1	0.113377	1
912	1	0.133493	1
913	1	0.110914	1
914	1	0.0167767	1
915	1	0.110914	1
916	1	0.120852	0
917	1	0.0300151	1
918	1	0.110914	1
919	1	0.120852	0
920	1	0.111228	0
921	1	0.110914	1
922	1	0.1049	0
923	1	0.120852	0
924	1	0.111228	0
925	1	0.133493	1
926	1	0.113377	1
927	1	0.133493	1
928	1	0.133493	1
929	1	0.111228	0
930	1	0.111228	0
931	1	0.133493	1
932	1	0.133493	1
933	1	0.101075	0
934	1	0.113377	1
935	1	0.133493	1
936	1	0.0444775	1
937	1	0.101075	0
938	1	0.120852	0
939	1	0.0300151	1
940	1	0.113377	1
941	1	0.111228	0
942	1	0.111228	0
943	1	0.120852	0
944	1	0.133493	1
945	1	0.101075	0
946	1	0.101075	0
947	1	0.113377	1
948	1	0.101075	0
949	1	0.133493	1
950	1	0.133493	1
951	1	0.1049	0
952	1	0.133493	1
953	1	0.110914	1
954	1	0.107614	0
955	1	0.113377	1
956	1	0.107614	0
957	1	0.110914	1
958	1	0.111228	0
959	1	0.120852	0
960	1	0.120852	0
961	1	0.0167767	1
962	1	0.1049	0
963	1	0.133493	1
964	1	0.133493	1
965	1	0.0300151	1
966	1	0.111228	0
967	1	0.120852	0
968	1	0.110914	1
969	1	0.113377	1
970	1	0.133493	1
971	1	0.1049	0
972	1	0.111228	0
973	1	0.0300151	1
974	1	0.0444775	1
975	1	0.133493	1
976	1	0.120852	0
977	1	0.110914	1
978	1	0.111228	0
979	1	0.120852	0
980	1	0.0444775	1
981	1	0.111228	0
982	1	0.120852	0
983	1	0.111228	0
984	1	0.101075	0
985	1	0.120852	0
986	1	0.101075	0
987	1	0.107614	0
988	1	0.101075	0
989	1	0.120852	0
990	1	0.1049	0
991	1	0.110914	1
992	1	0.0444775	1
993	1	0.113377	1
994	1	0.113377	1
995	1	0.120852	0
996	1	0.1049	0
997	1	0.1049	0
998	1	0.120852	0
999	1	0.0444775	1
1000	1	0.1049	0
1001	1	0.1049	0
1002	1	0.107614	0
1003	1	0.0167767	1
1004	1	0.120852	0
1005	1	0.120852	0
1006	1	0.113377	1
1007	1	0.133493	1
1008	1	0.101075	0
1009	1	0.120852	0
1010	1	0.0444775	1
1011	1	0.120852	0
1012	1	0.111228	0
1013	1	0.120852	0
1014	1	0.120852	0
1015	1	0.1049	0
1016	1	0.110914	1
1017	1	0.107614	0
1018	1	0.110914	1
1019	1	0.111228	0
1020	1	0.120852	0
1021	1	0.110914	1
1022	1	0.113377	1
1023	1	0.1049	0
1024	1	0.110914	1
1025	1	0.113377	1
1026	1	0.101075	0
1027	1	0.101075	0
1028	1	0.107614	0
1029	1	0.133493	1
1030	1	0.0167767	1
1031	1	0.113377	1
1032	1	0.120852	0
1033	1	0.110914	1
1034	1	0.1049	0
1035	1	0.133493	1
1036	1	0.107614	0
1037	1	0.1049	0
1038	1	0.113377	1
1039	1	0.107614	0
1040	1	0.101075	0
1041	1	0.107614	0
1042	1	0.0300151	1
1043	1	0.120852	0
1044	1	0.113377	1
1045	1	0.111228	0
1046	1	0.110914	1
1047	1	0.110914	1
1048	1	0.110914	1
1049	1	0.0444775	1
1050	1	0.133493	1
1051	1	0.0444775	1
1052	1	0.111228	0
1053	1	0.120852	0
1054	1	0.1049	0
1055	1	0.0444775	1
1056	1	0.113377	1
1057	1	0.101075	0
1058	1	0.0300151	1
1059	1	0.101075	0
1060	1	0.113377	1
1061	1	0.120852	0
1062	1	0.0167767	1
1063	1	0.1049	0
1064	1	0.120852	0
1065	1	0.133493	1
1066	1	0.107614	0
1067	1	0.1049	0
1068	1	0.111228	0
1069	1	0.113377	1
1070	1	0.120852	0
1071	1	0.133493	1
1072	1	0.101075	0
1073	1	0.111228	0
1074	1	0.133493	1
1075	1	0.111228	0
